+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                  ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_debug_slave_wrapper                                                            ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_ocimem|nios_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_ocimem|nios_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_ocimem                                                                   ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_avalon_reg                                                               ; 48    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_im                                                                   ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_pib                                                                  ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo|the_nios_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_fifo                                                                 ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_dtrace|nios_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_dtrace                                                               ; 102   ; 0              ; 91           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_itrace                                                               ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                 ; 87    ; 0              ; 0            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                 ; 53    ; 5              ; 50           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_break                                                                ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci|the_nios_nios2_gen2_0_cpu_nios2_oci_debug                                                                ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_nios2_oci                                                                                                          ; 154   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|nios_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|nios_nios2_gen2_0_cpu_register_bank_b                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|nios_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|nios_nios2_gen2_0_cpu_register_bank_a                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu|the_nios_nios2_gen2_0_cpu_test_bench                                                                                                         ; 285   ; 3              ; 251          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0|cpu                                                                                                                                              ; 149   ; 1              ; 31           ; 1              ; 109    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2|nios2_gen2_0                                                                                                                                                  ; 149   ; 0              ; 0            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0_nios2                                                                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_pll|altpll_component|auto_generated                                                                                                                                  ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_pll                                                                                                                                                                  ; 2     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
